season,week,date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home,score_away,score_home
2020,2,9/20/20,Vikings,Colts,12,24,9-Feb,11-Mar,0-0,1-Jan,95,203,80,151,175,354,26-Nov,19-25,18-Mar,11-Feb,18,40,0,0,3,1,3,1,Jun-45,Sep-93,2-Jan,4-Feb,10,10,0,0,21:35,38:25:00,11,28
2020,2,9/20/20,Bills,Dolphins,23,28,10-May,12-May,0-0,0-1,411,311,112,99,523,410,24-35,31-47,4-Jan,17-Mar,23,22,1,0,0,0,1,0,Jun-55,20-Mar,2-Feb,5-Mar,12,11,0,0,28:55:00,31:05:00,31,28
2020,2,9/20/20,49ers,Jets,17,17,13-Jul,14-May,0-0,0-2,177,173,182,104,359,277,22-27,21-32,25-Mar,6-Jan,29,29,0,0,1,0,1,0,May-59,May-65,3-Mar,0-2,11,11,0,0,32:13:00,27:47:00,31,13
2020,2,9/20/20,Rams,Eagles,30,25,12-Jul,12-Jul,1-Jan,0-1,258,242,191,121,449,363,20-27,26-43,9-Jan,0-0,39,26,1,1,0,2,1,3,24-Apr,30-May,5-Apr,3-Feb,10,10,0,0,31:13:00,28:47:00,37,19
2020,2,9/20/20,Broncos,Steelers,23,19,15-May,12-Feb,0-2,2-Jan,215,301,104,109,319,410,19-39,29-41,Jul-61,10-Jan,26,22,1,1,1,1,2,2,30-Apr,Oct-89,4-Jan,3-Jan,13,14,0,0,30:31:00,29:29:00,21,26
2020,2,9/20/20,Panthers,Buccaneers,24,20,11-Jun,11-May,2-Jan,0-0,340,217,87,122,427,339,33-42,23-35,27-May,0-0,24,22,2,1,2,1,4,2,Sep-77,May-37,4-Feb,3-Feb,12,11,0,0,34:32:00,25:28:00,17,31
2020,2,9/20/20,Commanders,Cardinals,19,22,12-Apr,17-Jul,1-Jan,2-Feb,199,278,117,160,316,438,19-33,26-38,24-Apr,8-Mar,23,32,2,0,0,1,2,1,Jun-42,Nov-97,3-Jan,6-Mar,11,12,0,0,26:15:00,33:45:00,15,30
2020,2,9/20/20,Chiefs,Chargers,23,28,15-Jul,13-Jun,1-Jan,2-Jan,289,296,125,183,414,479,27-47,22-33,13-Jan,15-Feb,22,44,0,0,0,1,0,1,Nov-90,Jun-40,2-Jan,3-Feb,10,10,0,0,28:38:00,39:27:00,23,20
2020,2,9/20/20,Ravens,Texans,23,18,14-May,9-Mar,2-Feb,0-1,177,253,230,51,407,304,18-24,25-36,27-Apr,22-Apr,37,17,0,1,0,1,0,2,21-Mar,22-Apr,3-Jan,2-Jan,9,10,2,0,34:51:00,25:09:00,33,16
2020,2,9/20/20,Patriots,Seahawks,29,22,12-Jul,7-Mar,1-Jan,0-0,397,275,67,154,464,429,30-44,21-28,Jan-00,13-Feb,25,30,0,0,1,1,1,1,12-Feb,Sep-68,5-Mar,2-Feb,10,10,1,0,28:41:00,31:19:00,30,35
2020,2,9/21/20,Saints,Raiders,26,28,11-Jul,17-Oct,0-0,2-Feb,312,261,112,116,424,377,26-38,28-38,0-0,23-Mar,19,35,0,1,1,0,1,1,10-129,13-Mar,4-Mar,4-Mar,9,9,0,0,23:42,36:18:00,24,34
2020,3,9/24/20,Dolphins,Jaguars,23,22,13-Jul,10-Mar,1-Jan,0-3,156,246,138,72,294,318,18-20,30-42,4-Jan,29-Apr,36,17,0,1,0,1,0,2,Jun-51,Aug-63,5-Apr,2-Feb,10,10,0,0,34:22:00,25:38:00,31,13
2020,3,9/27/20,Bears,Falcons,24,22,15-Apr,13-Apr,2-Jan,0-0,307,227,130,144,437,371,29-51,19-38,9-Feb,11-Feb,25,25,0,0,2,1,2,1,Oct-80,Jul-75,4-Feb,4-Feb,14,14,0,0,34:50:00,25:10:00,30,26
2020,3,9/27/20,Rams,Bills,28,23,10-Jun,10-May,0-1,1-Jan,311,274,167,101,478,375,23-32,24-33,10-Feb,Apr-37,32,21,1,1,1,1,2,2,30-Mar,May-55,4-Mar,5-May,10,9,0,0,32:12:00,27:48:00,32,35
2020,3,9/27/20,Commanders,Browns,19,19,11-May,14-May,1-Jan,1-Jan,206,142,103,158,309,300,21-37,16-23,18-Mar,14-Feb,22,37,2,0,3,0,5,0,Apr-40,Jun-50,3-Mar,4-Mar,12,11,0,0,26:23:00,33:37:00,20,34
2020,3,9/27/20,Titans,Vikings,23,22,13-Mar,10-Apr,1-Jan,0-1,310,238,134,226,444,464,23-37,16-27,11-Feb,13-Feb,34,33,0,1,1,2,1,3,Apr-45,20-Mar,4-Feb,2-Feb,13,13,0,0,31:32:00,28:28:00,31,30
2020,3,9/27/20,Raiders,Patriots,22,25,9-Mar,11-Mar,0-0,0-0,249,156,126,250,375,406,24-32,17-28,12-Feb,6-Feb,22,38,3,0,0,1,3,1,Jun-40,Feb-33,5-Feb,6-Mar,11,11,0,2,25:21:00,34:39:00,20,36
2020,3,9/27/20,49ers,Giants,29,13,12-Aug,10-Apr,0-0,2-Jan,327,165,93,66,420,231,25-36,17-32,16-Feb,14-Feb,35,15,0,2,0,1,0,3,Jun-45,28-May,6-Apr,0-0,9,9,0,0,39:44:00,20:16,36,9
2020,3,9/27/20,Bengals,Eagles,24,27,13-Mar,21-Oct,0-0,0-0,256,206,48,172,304,378,31-44,29-47,Aug-56,19-Mar,18,36,0,0,0,2,0,2,Sep-73,Nov-93,4-Feb,2-Jan,15,13,0,0,32:16:00,37:44:00,23,23
2020,3,9/27/20,Texans,Steelers,13,25,12-May,18-Aug,0-0,2-Feb,231,218,29,169,260,387,19-27,23-36,May-33,19-Feb,15,38,0,0,1,0,1,0,Apr-49,14-Feb,2-Feb,5-Feb,10,11,0,0,23:09,36:51:00,21,28
2020,3,9/27/20,Jets,Colts,15,21,12-Mar,10-Mar,0-1,1-Jan,151,234,109,119,260,353,17-29,19-25,17-Feb,0-0,29,31,0,0,3,0,3,0,Jul-57,Apr-40,2-Jan,2-Feb,11,10,0,2,29:52:00,30:08:00,7,36
2020,3,9/27/20,Panthers,Chargers,14,26,12-Mar,15-Oct,0-0,0-0,221,319,81,117,302,436,22-28,35-49,14-Feb,11-Feb,21,23,0,3,0,1,0,4,30-Mar,Aug-60,6-Jan,3-Feb,10,10,0,0,28:49:00,31:11:00,21,16
2020,3,9/27/20,Buccaneers,Broncos,17,13,16-Aug,14-May,1-Jan,0-1,285,184,68,42,353,226,25-38,25-39,12-Feb,Jun-45,25,14,0,0,0,2,0,2,Sep-71,30-Apr,4-Mar,2-Jan,12,11,0,0,33:02:00,26:58:00,28,10
2020,3,9/27/20,Lions,Cardinals,22,28,12-Apr,10-Apr,1-Jan,1-Jan,232,268,90,109,322,377,22-31,23-35,Apr-38,2-Jan,27,27,0,0,0,3,0,3,Jul-46,Jul-38,6-Feb,3-Mar,10,10,0,0,32:50:00,27:10:00,26,23
2020,3,9/27/20,Cowboys,Seahawks,27,23,15-Jul,13-May,2-Feb,1-Jan,461,295,61,117,522,412,37-57,27-40,11-Feb,20-Apr,21,26,1,1,2,0,3,1,Oct-59,30-May,1-Jan,3-Mar,14,14,0,0,27:26:00,32:34:00,31,38
2020,3,9/27/20,Packers,Saints,24,21,11-May,11-May,2-Jan,1-Jan,271,275,98,122,369,397,21-32,29-36,12-Jan,13-Feb,26,20,0,1,0,0,0,1,10-Feb,Aug-83,5-Apr,4-Feb,11,11,0,0,31:40:00,28:20:00,37,30
2020,3,9/28/20,Chiefs,Ravens,29,16,13-Oct,9-Mar,0-2,0-1,385,70,132,158,517,228,31-42,15-28,0-0,27-Apr,31,21,1,1,0,0,1,1,Jun-38,Jun-45,3-Mar,4-Jan,10,11,0,1,33:56:00,26:04:00,34,20
2020,4,10/1/20,Broncos,Jets,21,18,12-Jun,19-Aug,0-0,0-2,242,192,117,129,359,321,19-31,25-44,0-0,Jun-54,32,24,0,0,3,0,3,0,Aug-94,11-118,4-Feb,0-3,13,11,0,1,31:39:00,28:21:00,37,28
2020,4,10/4/20,Jaguars,Bengals,25,28,10-Feb,11-Apr,1-Jan,1-Jan,340,300,89,205,429,505,27-40,25-36,11-Mar,Jan-00,20,34,0,0,1,1,1,1,Jun-49,Jul-73,5-Feb,4-Jan,10,11,0,0,26:49:00,33:11:00,25,33
2020,4,10/4/20,Browns,Cowboys,33,35,11-May,11-Jun,0-0,2-Jan,201,481,307,85,508,566,20-31,41-58,1-Feb,21-Mar,40,18,0,2,0,1,0,3,May-40,Jun-65,5-Apr,3-Feb,13,12,0,0,33:32:00,26:28:00,49,38
2020,4,10/4/20,Saints,Lions,29,18,14-Oct,14-Jul,1-Jan,3-Mar,228,191,164,90,392,281,19-25,17-31,18-Feb,15-Mar,42,22,0,0,1,1,1,1,Apr-67,May-49,4-Apr,5-Apr,9,9,0,0,36:46:00,23:14,35,29
2020,4,10/4/20,Seahawks,Dolphins,26,25,10-Apr,13-Jul,0-1,0-0,343,312,98,103,441,415,24-34,29-45,17-Feb,3-Jan,26,22,0,0,1,2,1,2,0-0,20-Mar,6-Apr,3-Jan,10,10,0,0,26:51:00,33:09:00,31,23
2020,4,10/4/20,Chargers,Buccaneers,15,28,10-Apr,11-May,1-Jan,0-0,278,369,46,115,324,484,20-25,30-46,12-Feb,0-0,23,27,1,0,1,1,2,1,Jul-60,Aug-90,1-Jan,5-Apr,11,12,2,0,25:05:00,34:55:00,31,38
2020,4,10/4/20,Ravens,Commanders,18,24,11-May,13-Apr,2-Feb,3-Feb,206,274,144,69,350,343,15-23,32-45,2-Jan,Mar-40,32,22,0,1,2,0,2,1,30-May,20-Feb,1-Jan,3-Feb,11,11,0,0,29:22:00,30:38:00,31,17
2020,4,10/4/20,Cardinals,Panthers,21,30,9-Mar,11-Jul,0-0,1-Jan,133,276,129,168,262,444,24-31,26-37,Jan-00,0-0,23,35,1,0,0,1,1,1,29-May,Oct-72,3-Mar,5-Apr,9,10,0,0,22:52,37:08:00,21,31
2020,4,10/4/20,Vikings,Texans,24,20,12-May,12-Mar,1-Jan,2-Jan,248,290,162,96,410,386,16-22,20-33,12-Mar,10-Mar,40,26,0,1,0,0,0,1,Apr-36,15-Feb,5-Apr,0-3,12,10,0,0,36:31:00,23:29,31,23
2020,4,10/4/20,Giants,Rams,19,15,13-Apr,13-May,2-Jan,1-Jan,159,182,136,58,295,240,23-36,25-32,31-May,18-Feb,25,23,0,1,1,0,1,1,20-Apr,5-Jan,0-4,2-Jan,10,10,0,0,33:18:00,26:42:00,9,17
2020,4,10/4/20,Colts,Bears,18,16,19-Aug,14-Apr,2-Jan,0-0,186,241,103,28,289,269,16-29,26-42,4-Jan,8-Jan,38,16,0,0,0,1,0,1,Aug-76,8-103,4-Jan,2-Jan,11,11,0,0,32:28:00,27:32:00,19,11
2020,4,10/4/20,Bills,Raiders,21,24,13-Jul,14-Aug,1-Jan,2-Jan,274,297,63,86,337,383,24-34,32-44,14-Jan,14-Feb,24,23,0,2,0,0,0,2,May-81,Jul-65,4-Mar,4-Feb,10,9,0,0,28:18:00,31:42:00,30,23
2020,4,10/4/20,Eagles,49ers,18,25,13-Apr,11-May,2-Feb,0-1,174,301,93,116,267,417,18-28,32-45,19-Mar,May-37,28,20,0,1,1,2,1,3,25-Mar,Jun-42,2-Jan,3-Feb,10,12,2,0,29:29:00,30:31:00,25,20
2020,4,10/5/20,Patriots,Chiefs,21,19,15-Jun,11-Apr,3-Feb,0-0,172,229,185,94,357,323,20-37,19-29,18-Feb,7-Jan,35,25,1,1,3,0,4,1,Apr-43,Apr-38,3-Jan,3-Feb,11,10,0,2,31:34:00,28:26:00,10,26
2020,4,10/5/20,Falcons,Packers,24,22,12-Mar,11-Jun,4-Feb,2-Jan,249,315,78,88,327,403,28-39,27-33,Apr-36,12-Jan,25,26,0,0,0,0,0,0,23-Mar,30-Mar,3-Feb,4-Mar,9,9,0,0,30:22:00,29:38:00,16,30
2020,5,10/8/20,Buccaneers,Bears,18,18,14-Apr,10-Mar,2-Jan,0-0,233,208,106,35,339,243,25-41,30-42,20-Mar,Mar-35,20,14,1,0,0,1,1,1,11-109,Jun-66,3-Jan,3-Feb,11,11,0,0,31:32:00,28:28:00,19,20
2020,5,10/11/20,Panthers,Falcons,24,21,12-Jun,13-Jun,0-0,1-Jan,313,207,124,166,437,373,27-36,21-37,0-0,19-Feb,27,24,0,0,0,1,0,1,25-Apr,Mar-40,2-Jan,0-2,9,9,0,0,33:05:00,26:55:00,23,16
2020,5,10/11/20,Raiders,Chiefs,22,21,14-Jul,14-Jun,2-Feb,2-Jan,346,333,144,80,490,413,22-31,22-43,1-Jan,7-Mar,35,20,0,0,1,1,1,1,Aug-59,Oct-94,3-Mar,5-Apr,12,11,0,0,35:18:00,24:42:00,40,32
2020,5,10/11/20,Cardinals,Jets,28,21,12-May,13-Apr,1-Jan,0-2,369,162,127,123,496,285,27-37,18-33,11-Jan,Mar-33,30,28,0,0,1,0,1,0,Oct-59,30-Jun,2-Feb,3-Jan,11,11,0,0,32:15:00,27:45:00,30,10
2020,5,10/11/20,Eagles,Steelers,20,25,14-Oct,15-Nov,0-1,0-0,242,231,94,136,336,367,21-36,27-34,May-34,8-Jan,16,32,0,1,2,0,2,1,Sep-84,Aug-86,3-Mar,3-Mar,10,10,0,0,25:17:00,34:43:00,29,38
2020,5,10/11/20,Rams,Commanders,20,10,15-Jun,13-Feb,0-1,0-1,300,70,129,38,429,108,21-30,18-30,9-Jan,Aug-41,35,14,0,0,1,0,1,0,May-60,Mar-40,4-Mar,1-Jan,13,13,0,0,35:35:00,24:25:00,30,10
2020,5,10/11/20,Bengals,Ravens,12,17,16-Mar,15-Jul,3-Feb,0-1,135,171,70,161,205,332,19-30,19-37,Jul-48,9-Jan,28,24,2,0,1,1,3,1,May-40,25-Apr,0-1,2-Feb,12,12,0,2,34:39:00,25:21:00,3,27
2020,5,10/11/20,Jaguars,Texans,22,24,16-Aug,10-May,3-Jan,1-Jan,289,357,75,129,364,486,31-49,25-35,12-Apr,2-Jan,20,22,2,0,0,2,2,2,Apr-35,25-May,4-Feb,3-Jan,10,10,0,0,31:59:00,28:01:00,14,30
2020,5,10/11/20,Dolphins,49ers,22,19,12-Apr,10-Feb,2-Feb,0-2,342,128,94,131,436,259,22-28,16-35,8-Feb,May-43,33,19,0,1,0,2,0,3,Jul-69,Jul-75,6-Mar,3-Feb,12,11,0,0,36:53:00,23:07,43,17
2020,5,10/11/20,Colts,Browns,15,22,11-Apr,17-Oct,1-Jan,1-Jan,240,261,68,124,308,385,21-33,22-38,3-Jan,4-Jan,18,33,0,0,2,2,2,2,May-34,10-Feb,4-Jan,4-Feb,11,9,1,1,25:15:00,34:45:00,23,32
2020,5,10/11/20,Giants,Cowboys,20,28,13-Jul,9-May,0-0,0-0,211,276,89,126,300,402,20-33,24-33,11-Feb,12-Feb,27,29,1,1,0,1,1,2,Aug-81,25-Mar,3-Feb,5-Mar,10,10,2,2,32:22:00,27:38:00,34,37
2020,5,10/11/20,Vikings,Seahawks,31,18,14-Jun,0-7,3-Feb,2-Feb,248,190,201,124,449,314,27-39,20-32,1-Mar,27-Apr,41,16,1,0,1,1,2,1,Jun-55,25-Mar,4-Mar,3-Mar,11,11,0,0,39:28:00,20:32,26,27
2020,5,10/12/20,Chargers,Saints,19,23,17-Aug,15-May,0-1,0-0,239,313,111,95,350,408,20-34,33-48,25-Mar,12-Feb,32,25,0,0,0,1,0,1,10-Jan,May-60,3-Mar,3-Feb,14,13,0,0,30:42:00,35:01:00,27,30
